,beta,cap,capex,cash,ceo_age,ceo_good,debt,div,dso,ebitda,eps_gr,fcf,hist_eps,inst,inv,marg,ocf,px_gr,rd,roe,score,sg,sic_num,tax,ticker,vol,yr_200_hi,yr_50_hi,yr_hi,ebitda_mult,debt_mult,rd_dum
0,1.0,6630.0,4.24,853,56.13,0,1445,1.25,20,1028,0.77,-9.61,-8.78,80.98,6,0.0,-497,0.96,0.44,-11.81,0,3.89,5,29.84,AA,4.75,22.6,12.35,-6.88,8074.170233463035,1.4056420233463034,1
1,1.0,22670.0,14.49,6949,54.0,0,20754,0.89,16,8900,1.14,0.81,-43.78,79.38,14,14.0,6125,1.22,0.0,139.04,5,29.51,6,29.84,AAL,6.73,7.15,-7.14,-13.01,43423.21921348315,2.3319101123595507,0
2,1.06,11830.0,2.92,91,58.0,0,1232,0.15,16,1147,1.07,3.16,-6.13,80.98,1,8.2,579,1.11,0.0,17.09,15,36.51,8,37.71,AAP,1.05,0.47,-5.73,-9.69,13061.920662598082,1.074106364428945,0
3,1.14,686540.0,5.94,67155,55.0,1,87032,1.87,22,68986,1.13,24.05,2.44,60.55,51,27.1,65417,1.03,4.82,34.69,40,6.55,5,25.85,AAPL,31.63,14.84,8.46,-1.33,773571.0265416171,1.2615893079755314,1
4,0.87,19500.0,0.35,2768,54.0,0,4481,1.75,22,2020,1.1,1.0,-23.97,73.04,12,1.4,1997,1.0,0.0,78.77,7,1.41,7,31.55,ABC,2.78,7.72,7.66,-4.18,23979.6297029703,2.2183168316831683,0
5,1.17,70490.0,1.38,4908,56.0,1,27,2.11,43,5516,1.09,12.82,23.44,80.78,0,13.9,5016,1.15,0.0,64.54,19,15.63,10,20.43,ACN,2.53,-2.63,-3.42,-9.94,70516.11022480058,0.004894851341551849,0
6,0.86,25190.0,1.49,2106,54.0,0,5877,2.72,12,2221,1.3,2.59,41.46,75.81,8,2.4,2539,1.02,0.0,8.89,2,3.27,5,16.63,ADM,3.42,-0.39,-2.82,-8.58,31066.051778478162,2.6461053579468707,0
7,0.38,12560.0,35.57,292,54.0,0,7576,3.4,31,2152,1.03,-1.82,7.8,69.16,3,22.8,2034,1.01,0.0,9.15,4,20.13,6,37.01,AEE,1.38,2.69,-0.66,-4.3,20135.86431226766,3.520446096654275,0
8,1.13,7410.0,16.99,2041,58.0,0,20807,4.21,59,3814,1.13,2.99,-8.78,96.07,17,16.5,2811,1.1,0.0,-8.25,3,1.29,6,54.82,AES,5.69,-6.26,-3.26,-15.62,28216.46486628212,5.455427372836916,0
9,1.11,86010.0,2.51,1105,46.0,0,42726,1.32,49,4748,1.18,15.85,190.29,89.16,4,0.0,3064,1.13,12.54,17.88,17,29.58,5,29.84,AGN,5.2,2.59,9.39,-23.89,128735.76727042966,8.998736310025274,1
10,1.0,6330.0,1.55,203,58.0,0,1546,0.73,45,438,1.09,12.45,-107.14,94.18,5,18.5,309,1.15,0.0,272.04,10,25.19,10,20.85,ALLE,0.75,-2.82,0.64,-10.27,7875.536529680366,3.529680365296804,0
11,1.38,29630.0,10.36,1385,63.0,0,3456,0.0,73,725,1.18,19.91,-151.85,98.66,0,21.6,894,1.26,25.13,4.45,16,31.69,5,31.68,ALXN,3.17,4.19,2.54,-18.32,33084.089655172414,4.7668965517241375,1
12,1.85,37710.0,2.34,3749,58.0,0,3343,1.15,67,2671,1.07,20.44,96.43,85.0,3,19.9,2466,1.04,14.23,23.21,20,7.57,5,14.51,AMAT,10.44,16.3,5.41,-0.34,41051.59640584051,1.2515911643579183,1
13,1.12,11820.0,1.67,381,51.0,0,1942,0.7,57,1094,1.06,16.72,-13.85,91.11,4,21.7,709,1.09,0.0,16.14,14,11.86,5,26.11,AME,2.18,6.28,1.91,-3.28,13761.651736745887,1.7751371115173675,0
14,1.19,118780.0,3.42,31382,53.0,0,31556,2.98,49,10408,1.07,35.02,9.84,81.16,1,41.4,8673,1.13,17.09,25.83,13,22.85,5,13.72,AMGN,3.9,0.28,4.73,-9.71,150332.9848193697,3.0318985395849345,1
15,1.5,395500.0,4.72,19808,52.0,1,17547,0.0,17,8050,1.81,6.69,944.0,66.3,8,3.2,14603,1.11,11.81,13.93,42,19.55,8,39.96,AMZN,4.07,6.41,4.98,-1.75,413044.539378882,2.179751552795031,1
16,1.12,5300.0,1.19,74,67.0,0,2367,0.0,2,998,1.07,1.19,0.96,92.27,5,4.0,510,1.0,0.0,18.4,3,10.87,8,38.58,AN,0.95,8.59,3.57,-3.19,7666.925851703407,2.3717434869739478,0
17,1.21,21920.0,56.19,1467,49.0,0,8778,1.67,89,3604,-1.5,-12.48,-89.3,97.78,3,0.0,2125,1.13,0.0,-221.22,3,8.04,2,29.84,APA,3.32,-2.88,-8.96,-16.26,30697.59295227525,2.435627081021088,0
18,1.49,38210.0,50.75,939,59.0,0,15751,0.28,98,3997,3.08,-22.43,-63.49,89.03,12,0.0,2134,1.17,0.0,-28.52,28,18.63,2,29.84,APC,4.36,9.85,-3.08,-6.78,53960.765073805356,3.94070552914686,0
19,1.27,30180.0,10.97,1501,71.0,0,6225,2.7,44,3060,1.11,19.26,-17.96,86.09,12,21.6,2885,1.09,1.36,7.81,9,8.88,5,27.26,APD,1.43,-1.34,-4.67,-7.82,36404.509477124186,2.034313725490196,1
20,0.87,20550.0,2.93,1173,46.0,0,3011,0.96,74,1459,1.07,14.4,9.23,80.98,4,19.0,1051,1.04,0.0,22.99,6,12.54,5,27.06,APH,1.18,2.87,-1.72,-3.83,23560.196024674435,2.063742289239205,0
21,1.08,81270.0,5.46,3097,64.0,1,13642,2.0,44,3825,1.07,20.3,-982.93,80.98,7,0.0,3411,1.05,20.2,-14.73,31,6.09,5,29.84,AVGO,3.02,17.07,9.94,-1.02,94911.19032679738,3.5665359477124183,1
22,1.07,7090.0,2.91,176,44.0,0,1059,2.25,63,718,1.08,6.39,11.36,90.71,8,9.7,557,1.02,0.0,30.1,5,18.1,5,28.74,AVY,0.78,7.02,10.02,-1.47,8148.7548746518105,1.4749303621169916,0
23,0.56,20460.0,4.67,197,51.0,0,4969,0.0,8,2358,1.1,10.61,12.91,99.57,1,19.4,1637,1.22,0.0,0.0,17,33.37,8,34.84,AZO,0.32,-7.2,-7.92,-12.76,25428.916454622562,2.107294317217981,0
24,1.11,101190.0,2.78,10029,52.0,0,9952,3.43,35,7448,1.09,8.59,45.75,75.54,1,5.1,10786,1.03,5.07,97.13,10,3.74,5,6.0,BA,3.39,14.8,3.06,-3.55,111140.65346401719,1.3361976369495165,1
25,0.77,26160.0,7.63,7361,53.0,0,6520,1.11,63,1447,1.1,7.6,-8.78,85.87,3,6.1,1541,1.09,6.43,59.72,3,27.75,5,29.84,BAX,3.64,3.07,5.42,-4.11,32674.912923289565,4.505874222529371,1
26,1.61,13970.0,1.52,3466,56.0,0,1734,2.52,10,2141,1.06,4.18,69.44,91.4,4,4.4,2254,1.03,0.0,24.69,3,19.15,8,36.39,BBY,5.64,10.97,-0.08,-9.92,15702.381130312939,0.8099019149929939,0
27,1.05,38000.0,5.75,1568,62.0,0,11551,1.67,47,3272,1.09,14.75,-90.36,85.09,3,11.5,2559,1.04,6.63,13.19,9,24.07,5,9.02,BDX,1.18,3.77,5.33,-1.53,49550.52078239609,3.5302567237163816,1
29,0.99,13380.0,6.77,224,50.0,0,5131,0.68,53,1107,1.24,-7.05,-100.0,87.19,5,4.9,-23,1.11,0.0,11.16,7,5.46,5,29.84,BLL,1.22,-0.91,0.36,-6.94,18510.797651309847,4.635049683830172,0
31,1.09,32630.000000000004,3.6,319,51.0,0,5677,0.0,59,1559,1.13,6.62,-982.93,92.74,2,0.4,835,1.14,11.11,1.26,20,38.2,5,29.84,BSX,8.37,4.79,5.61,-3.35,38306.795381654905,3.6414368184733803,1
32,1.6,8740.0,5.74,590,53.0,0,2567,1.31,67,1330,1.05,5.34,-44.29,80.98,11,9.9,990,1.0,0.0,14.46,4,9.0,5,32.24,BWA,2.36,13.34,2.12,-2.25,11306.556390977443,1.9300751879699247,0
33,0.91,12940.0,1.09,2812,50.0,0,2092,3.28,48,1529,1.0,25.39,-5.66,72.63,0,30.2,1068,1.05,14.08,14.66,-1,33.4,10,30.73,CA,2.6,-5.34,-4.32,-11.55,15030.160889470242,1.368214519293656,1
34,0.32,16950.0,4.0,835,51.0,0,5528,2.04,26,1624,1.1,8.47,-20.0,78.95,5,9.3,1398,1.06,0.0,15.88,7,17.95,5,48.19,CAG,3.51,5.49,0.13,-2.58,22477.485837438424,3.4039408866995076,0
35,0.75,24120.0,0.38,2356,60.0,0,5539,2.45,21,3183,1.1,2.11,-16.52,88.51,11,1.9,3127,1.06,0.0,20.79,5,2.97,7,38.36,CAH,2.93,-0.86,1.8,-14.23,29658.259817781967,1.740182218033302,0
36,1.26,55720.0,8.16,7168,63.0,0,36783,3.18,137,6029,1.43,6.28,-22.58,72.41,2,2.6,5774,0.97,5.12,3.8,3,11.77,5,6.1,CAT,4.87,7.94,0.78,-4.37,92501.81107978105,6.101011776413999,1
37,1.76,10240.0,1.46,613,59.0,0,4430,0.0,89,977,1.06,2.06,-29.55,99.62,0,5.2,456,1.11,0.0,17.81,7,22.21,9,35.84,CBG,2.29,4.28,-2.13,-8.19,14669.372569089048,4.534288638689867,0
38,1.67,27760.0,1.48,323,66.0,0,8448,1.12,86,3107,1.08,12.9,21.59,18.14,5,18.8,2077,1.07,0.0,29.13,27,17.67,6,26.7,CBS,4.29,12.77,1.05,-3.41,36207.896041197295,2.7190215642098488,0
39,2.0,16710.0,4.66,170,56.13,0,3861,3.42,74,1213,1.07,8.71,2.29,3.68,9,11.1,1084,1.1,0.0,18.86,0,26.44,5,10.54,CCE,2.03,-4.11,6.12,-36.29,20570.859851607584,3.1830173124484746,0
40,0.75,40270.0,18.68,603,61.0,0,9454,2.52,7,4809,1.15,12.64,140.0,82.13,28,18.7,5134,1.03,0.0,11.99,11,13.41,6,1.73,CCL,3.5,12.53,3.58,-4.01,49723.87461010605,1.965897275940944,0
41,0.95,18290.0,15.7,513,66.0,1,605,0.0,75,1325,1.11,9.24,16.67,84.32,35,19.6,1175,1.1,11.6,16.09,12,50.6,10,29.84,CERN,3.55,-5.4,7.7,-20.21,18894.61283018868,0.45660377358490567,1
42,2.08,4900.0,24.91,1191,49.0,0,10764,0.0,46,1058,-11.14,-22.21,-78.25,80.98,0,0.0,229,1.19,0.0,0.0,1,-24.8,2,29.84,CHK,49.16,0.25,-8.63,-21.95,15662.874291115311,10.173913043478262,0
43,0.44,10640.0,0.64,168,55.0,0,950,2.35,48,925,1.07,4.23,-6.25,86.45,0,6.6,631,0.99,0.0,43.12,-1,11.04,6,37.07,CHRW,1.44,5.0,1.13,-3.57,11589.818378378379,1.027027027027027,0
44,0.34,15540.0,3.49,401,52.0,0,2320,2.66,30,1233,1.06,10.29,3.82,73.09,7,18.2,801,1.0,2.44,321.08,0,24.29,5,33.47,CLX,1.0,-1.85,0.25,-14.05,17859.67477696675,1.8815896188158963,1
45,1.05,182220.0,13.76,3301,56.0,0,61046,0.84,35,26417,1.15,9.72,15.0,84.99,0,21.1,18462,1.08,0.0,15.91,26,36.8,6,37.22,CMCSA,10.89,11.84,5.28,-1.64,243265.8750425862,2.3108604307832077,0
46,1.19,24690.0,4.06,1811,53.0,0,1639,2.79,61,2602,0.99,8.52,-19.63,83.92,4,9.3,2238,0.96,3.69,16.03,4,11.45,5,24.24,CMI,1.57,12.74,4.88,-2.02,26328.303996925442,0.6299000768639508,1
47,0.11,11760.0,29.36,285,47.0,0,9514,3.16,37,1934,1.07,-6.05,26.42,92.44,3,20.0,1461,1.05,0.0,14.21,5,20.13,6,33.03,CMS,1.88,0.24,0.74,-8.93,21273.852637021715,4.919338159255429,0
48,0.55,11170.0,20.72,1193,50.0,0,8814,4.13,31,1880,1.07,4.13,-145.05,76.69,7,13.0,1799,0.97,0.0,-4.73,3,20.13,6,29.84,CNP,3.53,9.68,3.14,-1.22,19983.365425531916,4.688297872340425,0
49,1.48,3880.0,12.74,73,47.0,0,3707,0.0,27,633,2.07,5.68,-78.84,80.98,18,2.1,488,1.32,0.0,-11.52,4,9.0,2,29.84,CNX,3.73,-8.44,-9.19,-24.31,7586.88467614534,5.856240126382306,0
50,0.61,9660.0,34.0,1,62.0,0,2025,0.38,37,583,-2.0,2.47,-50.0,90.38,36,0.0,408,1.34,0.0,-9.45,18,7.52,2,29.84,COG,6.33,-11.22,-6.95,-22.33,11684.998284734134,3.4734133790737562,0
51,0.46,10600.0,9.12,1319,49.0,0,876,3.75,19,972,1.11,6.72,20.0,90.74,2,15.1,713,1.12,0.0,18.51,17,53.16,5,26.16,COH,3.34,0.88,6.16,-13.5,11474.643004115227,0.9012345679012346,0
