,beta,cap,capex,cash,ceo_age,ceo_good,debt,div,dso,ebitda,eps_gr,fcf,hist_eps,inst,inv,marg,ocf,px_gr,rd,roe,score,sg,sic_num,tax,ticker,vol,yr_200_hi,yr_50_hi,yr_hi
0,1.0,6890.0,4.24,853,0,False,1445,1.25,20,1028,0.92,-9.61,0.0,0.0,6,-6.5,-497,0.93,0.44,-11.81,0,3.89,5,0.0,AA,4.75,27.4,16.75,-3.24
1,1.0,22660.0,14.49,6949,54,False,20754,0.89,16,8900,1.15,0.81,-43.78,79.37,14,14.0,6125,1.23,0.0,139.04,5,29.51,6,0.0,AAL,6.73,7.13,-7.16,-13.03
2,1.06,11950.0,2.92,91,58,False,1232,0.15,16,1147,1.07,3.16,-6.13,0.0,1,8.2,579,1.09,0.0,17.09,15,36.51,8,37.71,AAP,1.05,1.56,-4.7,-8.71
3,1.14,682750.0,5.94,67155,55,True,87032,1.87,22,68986,1.12,24.05,2.44,60.57,51,27.1,65417,1.07,4.82,34.69,40,6.55,5,25.85,AAPL,31.63,14.2,7.87,-1.88
4,0.87,19310.0,0.35,2768,54,False,4481,1.75,22,2020,1.1,1.0,-23.97,73.0,12,1.4,1997,1.04,0.0,78.77,7,1.41,7,31.55,ABC,2.78,6.68,6.62,-5.11
5,0.84,3360.0,14.13,11,62,False,2240,0.0,34,384,1.04,-0.38,-423.81,0.0,0,16.2,358,1.32,0.0,-0.06,14,26.59,10,107.73,ACHC,1.22,-12.24,5.27,-41.0
6,1.92,5630.0,1.1,692,52,False,4125,0.0,74,926,1.08,3.58,300.0,87.43,0,2.2,814,1.17,0.0,2.84,9,0.66,10,0.0,ACM,1.55,9.77,-1.32,-10.17
7,1.17,70760.0,1.38,4908,56,True,27,2.11,43,5516,1.09,12.82,23.44,80.95,0,13.9,5016,1.14,0.0,64.54,19,15.63,10,20.43,ACN,2.53,-2.25,-3.05,-9.61
8,0.86,25300.0,1.49,2106,54,False,5877,2.72,12,2221,1.3,2.59,41.46,75.84,8,2.4,2539,1.02,0.0,8.89,2,3.27,5,16.63,ADM,3.42,0.06,-2.37,-8.17
9,1.0,6090.0,2.6,2139,0,False,3564,0.0,45,1059,1.1,-8.74,0.0,29.87,22,2.3,-1034,1.02,0.0,-31.17,6,7.26,5,471.54,ADNT,1.37,18.94,8.61,-3.53
