Ticker,Name,Sect
A,AGILENT TECHNOLOGIES INC,Health Care
AA,ALCOA CORP,Materials
AAL,AMERICAN AIRLINES GROUP INC,Industrials
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary
AAPL,APPLE INC,Information Technology
ABBV,ABBVIE INC,Health Care
ABC,AMERISOURCEBERGEN CORP,Health Care
ABMD,ABIOMED INC.,Health Care
ABT,ABBOTT LABORATORIES,Health Care
ACAD,ACADIA PHARMACEUTICALS INC,Health Care
ACC,AMERICAN CAMPUS COMMUNITIES INC.,Real Estate
ACGL,ARCH CAPITAL GROUP LTD,Financials
ACHC,ACADIA HEALTHCARE CO INC,Health Care
ACM,AECOM,Industrials
ACN,ACCENTURE PLC,Information Technology
ADBE,ADOBE SYSTEM INC,Information Technology
ADI,ANALOG DEVICES INC,Information Technology
ADM,ARCHER DANIELS MIDLAND,Consumer Staples
ADNT,ADIENT PLC,Consumer Discretionary
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology
ADS,ALLIANCE DATA SYSTEMS CORP,Information Technology
ADSK,AUTODESK INC,Information Technology
AEE,AMEREN CORP,Utilities
AEP,AMERICAN ELECTRIC POWER INC,Utilities
AES,AES CORP,Utilities
AET,AETNA INC,Health Care
AFG,AMERICAN FINANCIAL GROUP INC.,Financials
AFL,AFLAC INC,Financials
AFSI,AMTRUST FINANCIAL SERVICES INC.,Financials
AGCO,AGCO CORP.,Industrials
AGIO,AGIOS PHARMACEUTICALS INC,Health Care
AGN,ALLERGAN,Health Care
AGNC,AGNC INVESTMENT REIT CORP,Financials
AGO,ASSURED GUARANTY LTD.,Financials
AGR,AVANGRID INC,Utilities
AHL,ASPEN INSURANCE HOLDINGS LTD.,Financials
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials
AIV,APARTMENT INVESTMENT & MANAGEMENT,Real Estate
AIZ,ASSURANT INC,Financials
AJG,ARTHUR J GALLAGHER,Financials
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology
AKRX,AKORN INC.,Health Care
AL,AIR LEASE CORP.,Industrials
ALB,ALBEMARLE CORP.,Materials
ALGN,ALIGN TECHNOLOGY INC.,Health Care
ALK,ALASKA AIR GROUP INC,Industrials
ALKS,ALKERMES PLC,Health Care
ALL,ALLSTATE CORP,Financials
ALLE,ALLEGION PLC,Industrials
ALLY,ALLY FINANCIAL INC,Financials
ALNY,ALNYLAM PHARMACEUTICALS INC.,Health Care
ALR,ALERE INC,Health Care
ALSN,ALLISON TRANSMISSION HOLDINGS INC,Industrials
ALXN,ALEXION PHARMACEUTICALS INC,Health Care
AMAT,APPLIED MATERIAL INC,Information Technology
AMCX,AMC NETWORKS INC. CL A,Consumer Discretionary
AME,AMETEK INC,Industrials
AMG,AFFILIATED MANAGERS GROUP INC,Financials
AMGN,AMGEN INC,Health Care
AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate
AMP,AMERIPRISE FINANCE INC,Financials
AMT,AMERICAN TOWER REIT CORP,Real Estate
AMTD,TD AMERITRADE HOLDING CORP,Financials
AMZN,AMAZON COM INC,Consumer Discretionary
AN,AUTONATION INC,Consumer Discretionary
ANAT,AMERICAN NATIONAL INSURANCE CO.,Financials
ANET,ARISTA NETWORKS INC,Information Technology
ANSS,ANSYS INC,Information Technology
ANTM,ANTHEM INC,Health Care
AON,AON PLC,Financials
AOS,A.O. SMITH CORP.,Industrials
APA,APACHE CORP,Energy
APAM,ARTISAN PARTNERS ASSET MANAGEMENT,Financials
APC,ANADARKO PETROLEUM CORP,Energy
APD,AIR PRODUCTS AND CHEMICALS INC,Materials
APH,AMPHENOL CORP CLASS A,Information Technology
APLE,APPLE HOSPITALITY REIT INC,Real Estate
AQB,AQUABOUNTY TECHNOLOGIES INC,Health Care
AR,ANTERO RESOURCES CORP,Energy
ARE,ALEXANDRIA REAL ESTATE EQUITIES IN,Real Estate
ARMK,ARAMARK,Consumer Discretionary
ARNC,ARCONIC INC INC,Industrials
ARRS,ARRIS INTERNATIONAL PLC,Information Technology
ARW,ARROW ELECTRONICS INC,Information Technology
ASB,ASSOCIATED BANCORP,Financials
ASH,ASHLAND GLOBAL INC,Materials
ASIX,ADVANSIX INC,Materials
ATHN,ATHENAHEALTH INC.,Health Care
ATO,ATMOS ENERGY CORP.,Utilities
ATR,APTARGROUP INC.,Materials
ATVI,ACTIVISION BLIZZARD INC,Information Technology
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate
AVGO,BROADCOM LTD,Information Technology
AVT,AVNET INC,Information Technology
AVY,AVERY DENNISON CORP,Materials
AWH,ALLIED WORLD ASSURANCE COMPANY HOL,Financials
AWI,ARMSTRONG WORLD INDUSTRIES INC.,Industrials
AWK,AMERICAN WATER WORKS INC,Utilities
AXP,AMERICAN EXPRESS,Financials
AXS,AXIS CAPITAL HOLDINGS LTD,Financials
AXTA,AXALTA COATING SYSTEMS LTD,Materials
AYI,ACUITY BRANDS INC.,Industrials
AZO,AUTOZONE INC,Consumer Discretionary
BA,BOEING,Industrials
BAC,BANK OF AMERICA CORP,Financials
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials
BAX,BAXTER INTERNATIONAL INC,Health Care
BBBY,BED BATH AND BEYOND INC,Consumer Discretionary
BBT,BB AND T CORP,Financials
BBY,BEST BUY INC,Consumer Discretionary
BC,BRUNSWICK CORP,Consumer Discretionary
BCR,C R BARD INC,Health Care
BDN,BRANDYWINE REALTY TRUST REIT,Real Estate
BDX,BECTON DICKINSON,Health Care
BEAV,B E AEROSPACE INC,Industrials
BEN,FRANKLIN RESOURCES INC,Financials
BERY,BERRY PLASTICS GROUP INC.,Materials
BF.A,BROWN-FORMAN CORP. CL A,Consumer Staples
BF.B,BROWN FORMAN CORP CLASS B,Consumer Staples
BG,BUNGE LTD,Consumer Staples
BHI,BAKER HUGHES INC,Energy
BIIB,BIOGEN INC,Health Care
BIO,BIO-RAD LABORATORIES INC. CL A,Health Care
BK,BANK OF NEW YORK MELLON CORP,Financials
BKD,BROOKDALE SENIOR LIVING INC.,Health Care
BKFS,BLACK KNIGHT FINANCIAL SERVICES IN,Information Technology
BKU,BANKUNITED INC.,Financials
BLK,BLACKROCK INC.,Financials
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
BLL,BALL CORP,Materials
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care
BMS,BEMIS INC,Materials
BMY,BRISTOL MYERS SQUIBB,Health Care
BOH,BANK OF HAWAII CORP.,Financials
BOKF,BOK FINANCIAL CORP.,Financials
BPOP,POPULAR INC.,Financials
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Information Technology
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Information Technology
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials
BRKR,BRUKER CORP.,Health Care
BRO,BROWN & BROWN INC,Financials
BRX,BRIXMOR PROPERTY GROUP INC,Real Estate
BSX,BOSTON SCIENTIFIC CORP,Health Care
BUFF,BLUE BUFFALO PET PRODUCTS INC,Consumer Staples
BURL,BURLINGTON STORES INC,Consumer Discretionary
BWA,BORGWARNER INC,Consumer Discretionary
BWXT,BWX TECHNOLOGIES INC,Industrials
BXP,BOSTON PROPERTIES REIT INC,Real Estate
C,CITIGROUP INC,Financials
CA,CA INC,Information Technology
CAA,CALATLANTIC GROUP INC,Consumer Discretionary
CAB,CABELAS INC,Consumer Discretionary
CABO,CABLE ONE INC,Consumer Discretionary
CACC,CREDIT ACCEPTANCE CORP.,Financials
CAG,CONAGRA BRANDS INC,Consumer Staples
CAH,CARDINAL HEALTH INC,Health Care
CAR,AVIS BUDGET GROUP INC.,Industrials
CASY,CASEYS GENERAL STORES INC.,Consumer Staples
CAT,CATERPILLAR INC,Industrials
CB,CHUBB LTD,Financials
CBG,CBRE GROUP INC,Real Estate
CBI,CHICAGO BRIDGE & IRON COMPANY NV,Industrials
CBOE,CBOE HOLDINGS INC.,Financials
CBS,CBS CORP- CLASS B,Consumer Discretionary
CBSH,COMMERCE BANCSHARES INC,Financials
CBT,CABOT CORP.,Materials
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Real Estate
CCK,CROWN HOLDINGS INC.,Materials
CCL,CARNIVAL CORP,Consumer Discretionary
CCO,CLEAR CHANNEL OUTDOOR HOLDINGS INC,Consumer Discretionary
CCP,CARE CAPITAL PROPERTIES INC,Real Estate
CDK,CDK GLOBAL INC,Information Technology
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology
CDW,CDW CORP,Information Technology
CE,CELANESE CORP SERIES A,Materials
CELG,CELGENE CORP,Health Care
CERN,CERNER CORP,Health Care
CF,CF INDUSTRIES HOLDINGS INC,Materials
CFG,CITIZENS FINANCIAL GROUP INC,Financials
