,beta,cap,capex,cash,ceo_age,ceo_good,debt,div,dso,ebitda,eps_gr,fcf,hist_eps,inst,inv,marg,ocf,px_gr,rd,roe,score,sg,sic_num,tax,ticker,vol,yr_200_hi,yr_50_hi,yr_hi,ebitda_mult,debt_mult,rd_dum
0,1.0,6890.0,4.24,853,56.26,0,1445,1.25,20,1028,0.92,-9.61,4.4,80.36,6,0.0,-497,0.93,0.44,-11.81,0,3.89,5,33.16,AA,4.75,27.4,16.75,-3.24,8334.170233463035,1.4056420233463034,1
1,1.0,22660.0,14.49,6949,54.0,0,20754,0.89,16,8900,1.15,0.81,-43.78,79.37,14,14.0,6125,1.23,0.0,139.04,5,29.51,6,33.16,AAL,6.73,7.13,-7.16,-13.03,43413.21921348315,2.3319101123595507,0
2,1.06,11950.0,2.92,91,58.0,0,1232,0.15,16,1147,1.07,3.16,-6.13,80.36,1,8.2,579,1.09,0.0,17.09,15,36.51,8,37.71,AAP,1.05,1.56,-4.7,-8.71,13181.920662598082,1.074106364428945,0
3,1.14,682750.0,5.94,67155,55.0,1,87032,1.87,22,68986,1.12,24.05,2.44,60.57,51,27.1,65417,1.07,4.82,34.69,40,6.55,5,25.85,AAPL,31.63,14.2,7.87,-1.88,769781.0265416171,1.2615893079755314,1
4,0.87,19310.0,0.35,2768,54.0,0,4481,1.75,22,2020,1.1,1.0,-23.97,73.0,12,1.4,1997,1.04,0.0,78.77,7,1.41,7,31.55,ABC,2.78,6.68,6.62,-5.11,23789.6297029703,2.2183168316831683,0
5,0.84,3360.0,14.13,11,62.0,0,2240,0.0,34,384,1.04,-0.38,-982.93,80.36,0,16.2,358,1.32,0.0,-0.06,14,26.59,10,107.73,ACHC,1.22,-12.24,5.27,-41.0,5599.971354166667,5.833333333333333,0
6,1.92,5630.0,1.1,692,52.0,0,4125,0.0,74,926,1.08,3.58,944.0,87.43,0,2.2,814,1.17,0.0,2.84,9,0.66,10,33.16,ACM,1.55,9.77,-1.32,-10.17,9754.252699784018,4.454643628509719,0
7,1.17,70760.0,1.38,4908,56.0,1,27,2.11,43,5516,1.09,12.82,23.44,80.95,0,13.9,5016,1.14,0.0,64.54,19,15.63,10,20.43,ACN,2.53,-2.25,-3.05,-9.61,70786.11022480058,0.004894851341551849,0
8,0.86,25300.0,1.49,2106,54.0,0,5877,2.72,12,2221,1.3,2.59,41.46,75.84,8,2.4,2539,1.02,0.0,8.89,2,3.27,5,16.63,ADM,3.42,0.06,-2.37,-8.17,31176.051778478162,2.6461053579468707,0
9,1.0,6090.0,2.6,2139,56.26,0,3564,0.0,45,1059,1.1,-8.74,4.4,29.87,22,2.3,-1034,1.02,0.0,-31.17,6,7.26,5,471.54,ADNT,1.37,18.94,8.61,-3.53,9651.980169971672,3.365439093484419,0
10,0.38,12700.0,35.57,292,54.0,0,7576,3.4,31,2152,1.03,-1.82,7.8,69.18,3,22.8,2034,1.0,0.0,9.15,4,19.84,6,37.01,AEE,1.38,3.82,0.44,-3.24,20275.86431226766,3.520446096654275,0
11,1.13,7460.0,16.99,2041,58.0,0,20807,4.21,59,3814,1.13,2.99,4.4,96.1,17,16.5,2811,1.09,0.0,-8.25,3,1.29,6,54.82,AES,5.69,-5.63,-2.61,-15.05,28266.46486628212,5.455427372836916,0
12,1.02,5010.0,2.71,427,63.0,0,1235,0.89,50,646,1.05,1.75,-35.06,92.67,3,3.9,325,0.9,3.93,5.5,-2,11.89,5,42.64,AGCO,0.89,18.09,3.51,-3.08,6244.339009287925,1.911764705882353,1
13,1.11,86140.0,2.51,1105,46.0,0,42726,1.32,49,4748,1.18,15.85,190.29,89.15,4,0.0,3064,1.13,12.54,17.88,17,29.58,5,33.16,AGN,5.2,2.75,9.56,-23.78,128865.76727042966,8.998736310025274,1
14,1.0,12000.0,25.49,550,63.0,0,4899,4.57,38,1277,1.12,2.92,29.63,13.2,5,17.1,1614,1.06,0.0,6.32,4,19.84,6,33.38,AGR,0.57,-3.47,1.36,-16.89,16898.56930305403,3.836335160532498,0
15,1.42,10420.0,5.79,214,51.0,0,3852,1.29,57,918,1.15,8.27,94.83,90.15,3,21.0,496,1.06,2.75,6.7,9,14.59,5,7.84,ALB,0.93,9.11,1.51,-3.38,14271.766884531591,4.196078431372549,1
16,0.89,11650.0,11.62,1328,55.0,0,686,1.17,13,1669,1.07,15.37,-3.27,91.82,38,23.6,1561,1.06,0.0,34.08,9,28.99,6,35.11,ALK,1.21,24.25,3.49,-1.81,12335.204313960456,0.4110245656081486,0
17,1.0,6300.0,1.55,203,58.0,0,1546,0.73,45,438,1.09,12.45,-107.14,94.26,5,18.5,309,1.16,0.0,272.04,10,25.19,10,20.85,ALLE,0.75,-3.29,0.15,-10.71,7845.536529680366,3.529680365296804,0
